# Mapping résolu — reports Albo App (Supabase) -> entités Albo OS (Convex mellow-curlew-738)
# Généré le 02/07/2026 (Lot 0, read-only). Une ligne par report source (390). Règle : domaine d'abord
# (union portfolio_companies.domain + company_domains, normalisé), fallback nom via MAPPING_REPORTS_COMPANIES_2026-07-02.csv
# (PR #168) quand un des deux côtés n'a pas de domaine ; conflit de domaines = exclu et signalé. Routage strict albo->albo, calte->calte.
# Fan-out : un report est rattaché à CHAQUE entité OS qui matche (colonne nb_cibles ; cibles séparées par " | ").
# ⚠️ Domaines OS lus par proxy (attioAlboImport.ts + Airtable) — à re-vérifier par dry-run Convex au Lot 1 (cf. LOT0_MIGRATION_REPORTS_2026-07-02.md).
# methode : domaine / nom / mixte (domaine + nom) / orphelin. Colonnes archive/doublon_source/statut = flags source (décision D5 ouverte).
org,report_id,societe_source,periode,period_sort_date,archive,doublon_source,statut,methode,nb_cibles,cibles_OS,conflits_domaine_exclus,note
albo,7f19fc55-3076-47b4-922a-cb9069c594ba,AZmed,April 2025,2025-04-01,,,completed,domaine,1,jx787ry5qajvmtxmpxn6zzqzf187r6bb:AZmed,,
albo,f332029a-a483-44c9-b4dd-cd518a07b9bc,AZmed,May 2025,2025-05-01,,,completed,domaine,1,jx787ry5qajvmtxmpxn6zzqzf187r6bb:AZmed,,
albo,ca4d410a-37b6-446a-bd50-585e67a3de78,AZmed,January 2026,2026-01-01,,,completed,domaine,1,jx787ry5qajvmtxmpxn6zzqzf187r6bb:AZmed,,
albo,65e78490-f02a-487d-9d2d-23982c39ca31,AZmed,February 2026,2026-02-01,oui,oui,completed,domaine,1,jx787ry5qajvmtxmpxn6zzqzf187r6bb:AZmed,,
albo,26812dd4-d730-4694-8be4-7467d6dfc2dc,AZmed,February 2026,2026-02-01,,,completed,domaine,1,jx787ry5qajvmtxmpxn6zzqzf187r6bb:AZmed,,
albo,461e3fbe-2acb-4b30-b6f7-20a3cd4a0fdc,AZmed,March 2026,2026-03-01,,,completed,domaine,1,jx787ry5qajvmtxmpxn6zzqzf187r6bb:AZmed,,
albo,6541ac48-cbd5-4363-b238-ffb1d3ee310a,AZmed,March 2026,2026-03-01,,,completed,domaine,1,jx787ry5qajvmtxmpxn6zzqzf187r6bb:AZmed,,
albo,c0a35fe0-5ee8-4a85-bbc7-d6ea544b7d11,AZmed,March 2026,2026-03-01,,,completed,domaine,1,jx787ry5qajvmtxmpxn6zzqzf187r6bb:AZmed,,
albo,94675c85-5585-4905-9579-324d33d8729a,AZmed,April 2026,2026-04-01,,,completed,domaine,1,jx787ry5qajvmtxmpxn6zzqzf187r6bb:AZmed,,
albo,ee073458-e3b6-468d-b3b2-97c3da76ed40,AZmed,June 2026,2026-06-01,,,completed,domaine,1,jx787ry5qajvmtxmpxn6zzqzf187r6bb:AZmed,,
albo,5e304867-853e-4c05-9a8e-abc7636940a7,AZmed,Decembre 2024,,,,completed,domaine,1,jx787ry5qajvmtxmpxn6zzqzf187r6bb:AZmed,,
albo,7d0cb361-df6b-487c-918d-6bb94f174973,BackMarket,January 2026,2026-01-01,,,completed,domaine,1,jx7c2j6x8zm19cg2dky1nfdv6x87sfy5:BackMarket,,
albo,dc2182e3-c7b5-4382-88e0-5874cf543413,Beyond Green,2025,2025-01-01,,,completed,domaine,1,jx78qs3pr8tq0ksxtywz5rrq6587rdmt:Beyond Green,,
albo,1720ba9f-c0f2-4552-bf28-eb45aa7034de,Beyond Green,Q3 2025,2025-07-01,,,completed,domaine,1,jx78qs3pr8tq0ksxtywz5rrq6587rdmt:Beyond Green,,
albo,7fd0cbba-dc30-46a8-be2b-7d3067016d6d,Beyond Green,January - April 2026,2026-01-01,,,completed,domaine,1,jx78qs3pr8tq0ksxtywz5rrq6587rdmt:Beyond Green,,
albo,d5f53700-e57f-40f9-b8ac-d84a5cc537e5,Beyond Green,February 2026,2026-02-01,,,completed,domaine,1,jx78qs3pr8tq0ksxtywz5rrq6587rdmt:Beyond Green,,
albo,f0396f77-7a63-4e70-86d1-d8637a8d03fc,Bleen,Q1 2025,2025-01-01,,,completed,domaine,1,jx770j9q5sqva04t4gkq3fyerd87s6fz:Bleen,,
albo,b313960e-688a-44b4-a65a-3629d497650a,Bleen,2025,2025-01-01,,,completed,domaine,1,jx770j9q5sqva04t4gkq3fyerd87s6fz:Bleen,,
albo,f8db9f86-695e-4d40-8913-8a007f0d389d,Bleen,2025,2025-01-01,,,completed,domaine,1,jx770j9q5sqva04t4gkq3fyerd87s6fz:Bleen,,
albo,4d03544f-c667-4116-b910-6ae5cbd5f76a,Bleen,April - June 2025,2025-04-01,,,completed,domaine,1,jx770j9q5sqva04t4gkq3fyerd87s6fz:Bleen,,
albo,8b1aace0-f23a-42a2-a02a-271e8c5313bb,Bleen,December 2025,2025-12-01,,,completed,domaine,1,jx770j9q5sqva04t4gkq3fyerd87s6fz:Bleen,,
albo,8bd482b2-bfaf-418e-874c-ae2df77bb412,Carbonfarm,May 2026,2026-05-01,,,completed,domaine,1,jx7f66x612xx0zrzce4k41a9rh87shkp:CarbonFarm,,
albo,f6d38f1c-ae0b-48a0-a2c6-190feb5cdc63,Cockpit Agriculture,Q4 2025,2025-10-01,,,completed,domaine,1,jx77vx2npwy75w80xdmcgrs04987s3ea:Cockpit Agriculture,,
albo,c09835c8-b919-433a-86dc-acf3d04fe99f,Cockpit Agriculture,October 2025,2025-10-01,,,completed,domaine,1,jx77vx2npwy75w80xdmcgrs04987s3ea:Cockpit Agriculture,,
albo,813498d8-bc0a-40ff-9764-ba23e0f88c5f,Cockpit Agriculture,November 2025,2025-11-01,,,completed,domaine,1,jx77vx2npwy75w80xdmcgrs04987s3ea:Cockpit Agriculture,,
albo,de0c9d7c-a6b0-4bbc-87cc-acdcd690ca55,Cockpit Agriculture,December 2025,2025-12-01,,,completed,domaine,1,jx77vx2npwy75w80xdmcgrs04987s3ea:Cockpit Agriculture,,
albo,9c0eb312-8d1d-44cc-94be-f43ff1e1cd80,Cockpit Agriculture,January 2026,2026-01-01,,,completed,domaine,1,jx77vx2npwy75w80xdmcgrs04987s3ea:Cockpit Agriculture,,
albo,1d5d6535-aafc-400b-99bd-2068b3b75ff4,Cockpit Agriculture,April 2026,2026-04-01,,,completed,domaine,1,jx77vx2npwy75w80xdmcgrs04987s3ea:Cockpit Agriculture,,
albo,4d9b607b-b151-4356-a8d8-794eb8657efa,Eben Home,April 2024,2024-04-01,,,completed,domaine,1,jx71nk6w56zzbngapd4pzvj59x87r7d2:Eben Home,,
albo,7514dd11-509f-4790-9e3a-5a297cfa6e5f,Eben Home,June 2024,2024-06-01,,,completed,domaine,1,jx71nk6w56zzbngapd4pzvj59x87r7d2:Eben Home,,
albo,caa06358-baa4-41c3-b01d-3a5275787a7a,Eben Home,July 2024,2024-07-01,,,completed,domaine,1,jx71nk6w56zzbngapd4pzvj59x87r7d2:Eben Home,,
albo,34ee79f3-c7a0-4876-a05a-a2cabd813961,Eben Home,August 2024,2024-08-01,,,completed,domaine,1,jx71nk6w56zzbngapd4pzvj59x87r7d2:Eben Home,,
albo,b11ca457-85b9-42ee-b799-600d74737080,Eben Home,September 2024,2024-09-01,,,completed,domaine,1,jx71nk6w56zzbngapd4pzvj59x87r7d2:Eben Home,,
albo,89f7f51e-d000-46fa-b17e-652814377b10,Eben Home,October 2024,2024-10-01,,,completed,domaine,1,jx71nk6w56zzbngapd4pzvj59x87r7d2:Eben Home,,
albo,f36efb8b-e576-47e4-9996-0d2b55eadc81,Eben Home,November 2024,2024-11-01,,,completed,domaine,1,jx71nk6w56zzbngapd4pzvj59x87r7d2:Eben Home,,
albo,2043600e-cc4f-4529-be3a-4454b4ed14fa,Eben Home,December 2024,2024-12-01,,,completed,domaine,1,jx71nk6w56zzbngapd4pzvj59x87r7d2:Eben Home,,
albo,7273ad06-f142-4895-9499-cff41cfe0781,Eben Home,January 2025,2025-01-01,,,completed,domaine,1,jx71nk6w56zzbngapd4pzvj59x87r7d2:Eben Home,,
albo,45da6f56-46fb-4a96-b919-79c8f5acf54c,Eben Home,February 2025,2025-02-01,,,completed,domaine,1,jx71nk6w56zzbngapd4pzvj59x87r7d2:Eben Home,,
albo,ddfe30bc-8240-43ad-8f72-e799b16e3a27,Eben Home,March 2025,2025-03-01,,,completed,domaine,1,jx71nk6w56zzbngapd4pzvj59x87r7d2:Eben Home,,
albo,f6d2b668-ca96-4b10-9039-2e9c0f5b0fc1,Eben Home,April 2025,2025-04-01,,,completed,domaine,1,jx71nk6w56zzbngapd4pzvj59x87r7d2:Eben Home,,
albo,9c4b2c7c-65ee-47da-a028-e0dc96cafa66,Eben Home,May 2025,2025-05-01,,,completed,domaine,1,jx71nk6w56zzbngapd4pzvj59x87r7d2:Eben Home,,
albo,d7880c01-8e6d-422e-a9bd-4931be804107,Eben Home,June 2025,2025-06-01,,,completed,domaine,1,jx71nk6w56zzbngapd4pzvj59x87r7d2:Eben Home,,
albo,5c48261d-befc-4fa4-9aed-0c43ebdb50fa,Eben Home,June 2025,2025-06-01,,oui,completed,domaine,1,jx71nk6w56zzbngapd4pzvj59x87r7d2:Eben Home,,
albo,5ccb86cb-a5f5-4ab4-be30-a2907de5b6ec,Eben Home,July 2025,2025-07-01,,,completed,domaine,1,jx71nk6w56zzbngapd4pzvj59x87r7d2:Eben Home,,
albo,eae132d5-ed6c-4239-bb14-c63a6cd77447,Eben Home,August 2025,2025-08-01,,,completed,domaine,1,jx71nk6w56zzbngapd4pzvj59x87r7d2:Eben Home,,
albo,a817922d-1b71-4ee7-88b4-342bdae943c7,Eben Home,September 2025,2025-09-01,,,completed,domaine,1,jx71nk6w56zzbngapd4pzvj59x87r7d2:Eben Home,,
albo,e97512ce-a914-4a51-9656-6ca6ade73f35,Eben Home,October 2025,2025-10-01,,,completed,domaine,1,jx71nk6w56zzbngapd4pzvj59x87r7d2:Eben Home,,
albo,ae5f24e5-f25d-455d-8c5e-40a9dc466f5e,Eben Home,Q4 2025,2025-10-01,,,completed,domaine,1,jx71nk6w56zzbngapd4pzvj59x87r7d2:Eben Home,,
albo,eff72ea3-1e7a-443e-b102-c925e24f945e,Eben Home,October 2025,2025-10-01,,oui,completed,domaine,1,jx71nk6w56zzbngapd4pzvj59x87r7d2:Eben Home,,
albo,aacca41d-bf1c-4fc6-af13-f54a04de7aaa,Eben Home,November - December 2025,2025-11-01,,,completed,domaine,1,jx71nk6w56zzbngapd4pzvj59x87r7d2:Eben Home,,
albo,f23f746f-54e6-4a44-849c-1645cc064dc0,Eben Home,December 2025 - January 2026,2025-12-01,,,completed,domaine,1,jx71nk6w56zzbngapd4pzvj59x87r7d2:Eben Home,,
albo,4b4671a7-bf0e-4e44-8f2b-a59f75237397,Eben Home,Q1 2026,2026-01-01,,,completed,domaine,1,jx71nk6w56zzbngapd4pzvj59x87r7d2:Eben Home,,
albo,ba8f8a82-7086-47b3-9426-64316dedd532,Eben Home,April 2026,2026-04-01,,,completed,domaine,1,jx71nk6w56zzbngapd4pzvj59x87r7d2:Eben Home,,
albo,6cc3fd75-4bdf-4e61-84a4-c1e1cf986c25,Eclo Beauty,January 2024,2024-01-01,,,completed,domaine,1,jx78d1g9n2868k4g9az7ag4b8s87sk5t:Eclo Beauty,,
albo,5595dac1-a4e5-4baf-8c93-532dd0423088,Eclo Beauty,February 2025,2025-02-01,,,completed,domaine,1,jx78d1g9n2868k4g9az7ag4b8s87sk5t:Eclo Beauty,,
albo,1cf8b1eb-06b6-46ba-a9f8-29d4c79846f9,Eclo Beauty,Q3 2025,2025-07-01,,,completed,domaine,1,jx78d1g9n2868k4g9az7ag4b8s87sk5t:Eclo Beauty,,
albo,029a22fc-4209-4615-945c-40b96021c35f,Eclo Beauty,Q4 2025,2025-10-01,,,completed,domaine,1,jx78d1g9n2868k4g9az7ag4b8s87sk5t:Eclo Beauty,,
albo,3bf24d6d-38fd-474b-b0d1-6a02305807af,Eclo Beauty,November 2025,2025-11-01,,,completed,domaine,1,jx78d1g9n2868k4g9az7ag4b8s87sk5t:Eclo Beauty,,
albo,d9cfc608-af46-4ed6-a8af-7141e71c09d7,Eclo Beauty,April 2026,2026-04-01,,,completed,domaine,1,jx78d1g9n2868k4g9az7ag4b8s87sk5t:Eclo Beauty,,
albo,93faee4e-2ba9-4ed1-8bbb-8e0e20dae3a3,Eclo Beauty,June 2026,2026-06-01,,,completed,domaine,1,jx78d1g9n2868k4g9az7ag4b8s87sk5t:Eclo Beauty,,
albo,91bf9e36-a16b-4409-9fef-0332aca8293a,Eclo Beauty,Février 2026,,,,completed,domaine,1,jx78d1g9n2868k4g9az7ag4b8s87sk5t:Eclo Beauty,,
albo,237d6bf6-5852-4a40-9de3-5f6ea8f5d97d,Eclo Beauty,Summer 2025,,,,completed,domaine,1,jx78d1g9n2868k4g9az7ag4b8s87sk5t:Eclo Beauty,,
albo,1328a2d6-2ef7-4ce8-8122-82fb2eb40191,Genomines,December 2025,2025-12-01,,,completed,domaine,1,jx7d25nz1ed4q0p9xd875py76587r4g3:Genomines,,
albo,cabc7203-6864-4fb4-b359-1e6a9b92f575,Goodvest,July 2025,2025-07-01,,,completed,domaine,1,jx72ej20pak0mqq05hshae3ayn87rjvy:Goodvest,,
albo,a7306d65-8be2-4403-8f6c-2795465474cc,Goodvest,August 2025,2025-08-01,,,completed,domaine,1,jx72ej20pak0mqq05hshae3ayn87rjvy:Goodvest,,
albo,90cdb531-f2df-4a78-a264-1894fffb78f2,Goodvest,September - Q3 2025,2025-09-01,,,completed,domaine,1,jx72ej20pak0mqq05hshae3ayn87rjvy:Goodvest,,
albo,f131a4cc-3161-4a6b-a01f-1d3be9236aed,Goodvest,October 2025,2025-10-01,,,completed,domaine,1,jx72ej20pak0mqq05hshae3ayn87rjvy:Goodvest,,
albo,210b7255-d8f7-481f-bb22-42669f648075,Goodvest,November 2025,2025-11-01,,,completed,domaine,1,jx72ej20pak0mqq05hshae3ayn87rjvy:Goodvest,,
albo,feac69cc-8362-4a78-8792-28ddf82cfb88,Goodvest,December 2025,2025-12-01,,,completed,domaine,1,jx72ej20pak0mqq05hshae3ayn87rjvy:Goodvest,,
albo,4873b20a-244f-4589-80ba-786e00fab7d7,Goodvest,January 2026,2026-01-01,,,completed,domaine,1,jx72ej20pak0mqq05hshae3ayn87rjvy:Goodvest,,
albo,3b6a12a1-fc28-44bf-8b2a-1e43a2405560,Goodvest,February 2026,2026-02-01,,,completed,domaine,1,jx72ej20pak0mqq05hshae3ayn87rjvy:Goodvest,,
albo,7090c8f8-e45b-42cf-9f6a-d9f674c54d71,Goodvest,March - Q1 2026,2026-03-01,,,completed,domaine,1,jx72ej20pak0mqq05hshae3ayn87rjvy:Goodvest,,
albo,4863500e-a51d-4d18-95a2-55af6d69f869,Goodvest,April 2026,2026-04-01,,,completed,domaine,1,jx72ej20pak0mqq05hshae3ayn87rjvy:Goodvest,,
albo,2cc44a98-0027-49d2-b9cf-ff88944c23d8,Goodvest,May 2026,2026-05-01,,,completed,domaine,1,jx72ej20pak0mqq05hshae3ayn87rjvy:Goodvest,,
albo,d3f4dbaa-a9d0-4d4b-aaf8-431794b3644e,Hectarea,2025,2025-01-01,,,completed,domaine,1,jx79z9rcha003f9910kh88f64s87rs51:Hectarea,,
albo,5334014d-e3fe-4344-88ea-4aca1afddc4d,Jeen,November 2025,2025-11-01,,,completed,domaine,1,jx7ez9pt7m8a6jab1zyfseawgd87rgxf:Jeen,,
albo,fd9bfc5f-332f-4ed3-bc83-df07f8356f2b,Jeen,December 2025,2025-12-01,oui,,completed,domaine,1,jx7ez9pt7m8a6jab1zyfseawgd87rgxf:Jeen,,
albo,bb42511f-a7be-4bd7-9ebf-745a8ab5a043,Jeen,Q1 2026,2026-01-01,oui,,completed,domaine,1,jx7ez9pt7m8a6jab1zyfseawgd87rgxf:Jeen,,
albo,3e46bf8d-4771-4567-b0f3-bf63c3a4ba15,Jeen,March 2026,2026-03-01,,,completed,domaine,1,jx7ez9pt7m8a6jab1zyfseawgd87rgxf:Jeen,,
albo,afe8a7bb-3304-42e3-aba9-897dce0559ec,Jeen,March 2026,2026-03-01,,,completed,domaine,1,jx7ez9pt7m8a6jab1zyfseawgd87rgxf:Jeen,,
albo,9b4529cb-e475-40cc-a839-38960877d649,Jeen,April 2026,2026-04-01,,,completed,domaine,1,jx7ez9pt7m8a6jab1zyfseawgd87rgxf:Jeen,,
albo,e60100f6-b5b4-4504-bd31-80830ea4d937,Jeen,May 2026,2026-05-01,,,completed,domaine,1,jx7ez9pt7m8a6jab1zyfseawgd87rgxf:Jeen,,
albo,06ec5977-6ab8-4328-9c72-05284f611c4a,JOONE Paris,December 2025,2025-12-01,,,completed,domaine,1,jx7e35h5h91mmk8nw531yq482s87r1nn:JOONE Paris,,
albo,e43b30f1-d0ee-455f-9e7a-7f6331fade4f,JOONE Paris,May 2026,2026-05-01,,,completed,domaine,1,jx7e35h5h91mmk8nw531yq482s87r1nn:JOONE Paris,,
albo,dae9e940-ffc0-4acb-a1e1-3ae4c568d3e6,JOONE Paris,2024 - 2029,,,,completed,domaine,1,jx7e35h5h91mmk8nw531yq482s87r1nn:JOONE Paris,,
albo,02cf2934-8283-493c-8d55-8b3d1d98ad66,Keenest,February 2025,2025-02-01,oui,,completed,domaine,1,jx7c3wgzp70vn1hftqb1p6wv9987ranq:Keenest,,
albo,8d1f21bd-620f-44f5-bb72-31538e1c56c8,Keenest,Q3 2025,2025-07-01,oui,,completed,domaine,1,jx7c3wgzp70vn1hftqb1p6wv9987ranq:Keenest,,
albo,75cae2b2-7dd0-4f64-9675-122cee09685d,Keenest,Janvier 2026,,,,completed,domaine,1,jx7c3wgzp70vn1hftqb1p6wv9987ranq:Keenest,,
albo,77106559-529e-4294-8c47-268889ce1818,Komeet,Q3 2025,2025-07-01,,,completed,domaine,1,jx78h5ac4qbqva6bdfqz9kbn7d87smbh:Komeet,,
albo,ccfc662c-d66a-4f87-ac5f-a1f67987b305,Komeet,Q4 2025,2025-10-01,,,completed,domaine,1,jx78h5ac4qbqva6bdfqz9kbn7d87smbh:Komeet,,
albo,a2552ae3-37f7-453f-8fa0-0cd4a4dcd2f5,La vie de quartier,Q1 2026,2026-01-01,,,completed,mixte,4,"jx7agg7khvm20qt2pryer2rxb987r8w5:La vie de Quartier - Holding | jx7332wvprgbtksfsnsnbvd35d8990c2:La Vie de Quartier - Rue du RDV | jx74e2822v5aazcewpmy94bhb1898xv0:La Vie de Quartier - Rue St Maur | jx720ph745f5wx0ba2nchad8xd89kjfv:La Vie de Quartier - Bdv Voltaire",,
albo,b9c98c91-7baa-4c68-b4bc-ffc5c1443140,La vie de quartier,April 2026,2026-04-01,,,completed,mixte,4,"jx7agg7khvm20qt2pryer2rxb987r8w5:La vie de Quartier - Holding | jx7332wvprgbtksfsnsnbvd35d8990c2:La Vie de Quartier - Rue du RDV | jx74e2822v5aazcewpmy94bhb1898xv0:La Vie de Quartier - Rue St Maur | jx720ph745f5wx0ba2nchad8xd89kjfv:La Vie de Quartier - Bdv Voltaire",,
albo,082d631c-eb8c-4094-8dcc-b05f5ba07a41,La vie de quartier,Septembre - Octobre 2025,,,,completed,mixte,4,"jx7agg7khvm20qt2pryer2rxb987r8w5:La vie de Quartier - Holding | jx7332wvprgbtksfsnsnbvd35d8990c2:La Vie de Quartier - Rue du RDV | jx74e2822v5aazcewpmy94bhb1898xv0:La Vie de Quartier - Rue St Maur | jx720ph745f5wx0ba2nchad8xd89kjfv:La Vie de Quartier - Bdv Voltaire",,
albo,79934499-e44c-4bff-9e7f-b955364a456c,Les constructeurs du bois,March 2026,2026-03-01,,,completed,domaine,1,jx7901c7f8zvbm3vryrkgcssmh87rhh3:Les constructeurs du bois,,
albo,822194fd-3efd-48b1-9dd6-faae91523009,Les constructeurs du bois,Octobre 2025,,,,completed,domaine,1,jx7901c7f8zvbm3vryrkgcssmh87rhh3:Les constructeurs du bois,,
albo,996b6826-1f3f-499b-9f5f-7d56d8cef783,Loewi,July 2025,2025-07-01,,,completed,nom,1,jx7fgc6r15rydb31jpn4jyvc6x88dkmp:Wheelee - Loewi,,
albo,d1bd7c1e-dc07-43db-aaa1-a993bc817823,Loewi,Q3 2025,2025-07-01,,,completed,nom,1,jx7fgc6r15rydb31jpn4jyvc6x88dkmp:Wheelee - Loewi,,
albo,9797ae60-e8e1-4950-92fd-5229981f6bb1,Loewi,Q4 2025,2025-10-01,,,completed,nom,1,jx7fgc6r15rydb31jpn4jyvc6x88dkmp:Wheelee - Loewi,,
albo,a3c5ca8d-0ae3-4dae-9e1f-c3c26e92afce,Loewi,December 2025,2025-12-01,,,completed,nom,1,jx7fgc6r15rydb31jpn4jyvc6x88dkmp:Wheelee - Loewi,,
albo,925fceb4-cd7b-4dd2-a008-3d8b70830898,Loewi,March 2026,2026-03-01,,,completed,nom,1,jx7fgc6r15rydb31jpn4jyvc6x88dkmp:Wheelee - Loewi,,
albo,ca6dc869-9490-46e6-b4ec-00c9e694ece6,Loewi,April 2026,2026-04-01,,,completed,nom,1,jx7fgc6r15rydb31jpn4jyvc6x88dkmp:Wheelee - Loewi,,
albo,cfeb73c9-2e94-4d9c-8f00-29d73a3a775e,Loewi,May 2026,2026-05-01,,,completed,nom,1,jx7fgc6r15rydb31jpn4jyvc6x88dkmp:Wheelee - Loewi,,
albo,061b1748-f19e-46b6-b761-f219e71ebd72,Losanje,Q2 2025,2025-04-01,,,completed,domaine,1,jx728f588hby64q8y4c7twcb9587sz2v:Losanje,,
albo,dbd68796-b5c8-4659-b2b3-855c85cce331,Losanje,Q3 2025,2025-07-01,,,completed,domaine,1,jx728f588hby64q8y4c7twcb9587sz2v:Losanje,,
albo,6f14f3e4-e1ce-4bf0-8791-48e7f2dd60c9,Marble,2025,2025-01-01,,,completed,orphelin,0,,,Orphelin : aucune company OS albo avec marble.studio ni de ligne CSV #168 — a creer ou mapper a la main
albo,2b2d3f5b-a36c-4aa4-a34e-baf8003402be,Marble,Q1 2026,2026-01-01,,,completed,orphelin,0,,,Orphelin : aucune company OS albo avec marble.studio ni de ligne CSV #168 — a creer ou mapper a la main
albo,a8c854d5-fc21-4f91-9e0b-29f3e96c9d5b,Ouisub,December 2025,2025-12-01,,,completed,domaine,1,jx78942c82np78n3gvyy7s4e5187s975:Ouisub,,
albo,814b0a01-9344-46e6-9e44-1a26b5c38e49,Ouisub,March 2026,2026-03-01,,,completed,domaine,1,jx78942c82np78n3gvyy7s4e5187s975:Ouisub,,
albo,70ca1567-4dda-4119-b5f8-f6fabad4d276,Ouisub,Q2 2026,2026-04-01,,,completed,domaine,1,jx78942c82np78n3gvyy7s4e5187s975:Ouisub,,
albo,45b77cc7-ef11-44d5-a1b1-a4dfb71cbf0b,Ouisub,April 2026,2026-04-01,,,completed,domaine,1,jx78942c82np78n3gvyy7s4e5187s975:Ouisub,,
albo,5d62391d-b827-4608-844a-e9e05c280766,Ouisub,Octobre 2025,,,,completed,domaine,1,jx78942c82np78n3gvyy7s4e5187s975:Ouisub,,
albo,44b33953-7b9d-48ae-a6c3-db06c56ea239,Reekom,Q1 2026,2026-01-01,,,completed,domaine,1,jx71fa19ezp2vzaaj0k09gkmzn87rq97:Reekom,,
albo,a53a2345-5448-4b3f-afe2-1245eaa426a4,Reekom,Janvier - Décembre 2025,,,,completed,domaine,1,jx71fa19ezp2vzaaj0k09gkmzn87rq97:Reekom,,
albo,3f5a0b15-284f-4f68-9cb7-2a08c952b7cb,RegenSchool,September 2025,2025-09-01,,,completed,domaine,1,jx774qf54r5v58sxaew582x76587rtmt:RegenSchool,,
albo,0761fb99-5f08-4b4c-b0db-c6012b54223e,RegenSchool,January 2026,2026-01-01,,,completed,domaine,1,jx774qf54r5v58sxaew582x76587rtmt:RegenSchool,,
albo,3c18fdbe-7ed2-4a1f-ac16-1706cbdeb04d,RegenSchool,March 2026,2026-03-01,,,completed,domaine,1,jx774qf54r5v58sxaew582x76587rtmt:RegenSchool,,
albo,7a6c3145-dc0d-4da6-9424-fbcb35318161,Resilience,Q1 2025,2025-01-01,,,completed,domaine,1,jx73memhv6nh8qhtpt3e8ytqjx87rvxh:Resilience,,
albo,2ffa4735-90ef-4ea1-a997-ba2627f5a294,Resilience,Q2 2025,2025-04-01,,,completed,domaine,1,jx73memhv6nh8qhtpt3e8ytqjx87rvxh:Resilience,,
albo,fde02e5b-9b36-4ca0-bf14-145443dedccd,Resilience,Q3 2025,2025-07-01,,,completed,domaine,1,jx73memhv6nh8qhtpt3e8ytqjx87rvxh:Resilience,,
albo,8be67dcf-56d7-4a7d-b550-8bcedee0ec1e,Resilience,Q4 2025,2025-10-01,,,completed,domaine,1,jx73memhv6nh8qhtpt3e8ytqjx87rvxh:Resilience,,
albo,99eaf1ef-5b15-44f9-99d4-5909677a0022,Resilience,Q1 2026,2026-01-01,,,completed,domaine,1,jx73memhv6nh8qhtpt3e8ytqjx87rvxh:Resilience,,
